COUNTRY,SEX,YEAR,life_expectancy,average_number_of_calories_available_per_person_per_day,unemployment_rate,regular_daily_smokers,adult_overweight,alcahol_consumption_liter_per_capita,fat_available_ppd,protein_ppd,average_fruit_vegtable_ppd
Finland,ALL,2017.0,81.86,3466.0,8.6,32.1,38.8,12.62,89.95,96.05,3110.0
Finland,ALL,2018.0,81.93,3453.0,8.7,33.7,41.33,13.0,91.83,97.38,2830.0
Finland,ALL,2019.0,82.22,3500.0,8.7,33.2,42.03,13.81,98.15,100.28,2250.0
Finland,ALL,2020.0,82.14,3590.0,7.9,31.7,42.74,13.35,100.38,102.87,1620.0
Finland,ALL,2021.0,82.08,3501.0,7.2,28.1,43.46,13.46,100.6,100.35,1430.0
France,ALL,2000.0,79.34,3567.0,6.0,26.4,44.17,13.6,102.11,102.14,1250.0
France,ALL,2001.0,79.43,3585.0,5.5,26.16,44.88,13.47,106.05,102.87,1240.0
France,ALL,2002.0,79.54,3588.0,5.8,23.95,45.59,13.4,105.39,103.41,1520.0
France,ALL,2003.0,79.44,3657.0,6.3,22.98,46.31,13.56,110.16,105.47,1590.0
France,ALL,2004.0,80.5,3639.0,5.6,22.08,47.03,13.99,111.2,105.68,1460.0
France,ALL,2005.0,80.48,3612.0,5.5,19.78,47.78,13.25,113.41,106.09,1440.0
France,ALL,2006.0,81.16,3608.0,1.7,27.5,48.54,13.72,113.84,107.1,1480.0
France,ALL,2007.0,81.46,3596.0,11.1,30.9,49.29,13.55,116.77,106.94,1660.0
France,ALL,2008.0,81.56,3657.0,15.3,34.0,50.04,13.26,120.82,108.31,1770.0
France,ALL,2009.0,81.75,3678.0,16.4,33.5,50.78,13.14,121.43,110.23,1970.0
France,ALL,2010.0,81.97,3700.0,12.8,31.9,51.51,12.72,121.74,111.2,2370.0
France,ALL,2011.0,82.41,3623.0,11.1,29.7,52.21,13.16,122.39,110.45,3060.0
France,ALL,2012.0,82.32,3129.0,12.5,30.3,52.9,12.52,101.21,95.7,3800.0
France,ALL,2013.0,82.61,3041.0,13.7,28.3,53.58,11.61,96.3,90.94,4300.0
France,ALL,2014.0,83.14,3022.0,12.2,32.8,54.24,12.18,102.47,86.52,4820.0
France,ALL,2017.0,82.95,2958.0,16.0,27.8,54.88,11.44,99.4,87.69,6070.0
France,ALL,2018.0,83.12,2873.0,17.9,26.2,55.52,11.65,90.62,85.32,6680.0
Greece,ALL,2000.0,78.23,2896.0,17.3,26.2,56.13,11.66,91.7,87.12,7010.0
Greece,ALL,2001.0,78.62,2741.0,16.3,26.0,56.72,11.12,88.03,83.22,7260.0
Greece,ALL,2002.0,78.8,2676.0,13.5,22.1,57.28,11.04,85.67,82.36,7490.0
Greece,ALL,2003.0,78.93,2818.0,12.0,21.3,57.82,10.94,95.69,89.86,7590.0
Greece,ALL,2004.0,79.04,2879.0,10.1,17.2,58.34,10.92,92.16,88.93,7700.0
Greece,ALL,2005.0,79.32,2813.0,9.0,17.9,58.85,9.92,92.31,85.79,7430.0
Greece,ALL,2006.0,79.79,2816.0,6.9,15.9,59.34,10.1,92.23,84.36,7400.0
Greece,ALL,2007.0,79.55,2779.0,5.6,25.48,59.82,11.21,92.45,81.87,7610.0
Greece,ALL,2008.0,80.13,2757.0,6.8,25.76,60.28,11.01,94.36,78.55,8530.0
Greece,ALL,2009.0,80.34,2764.0,10.3,21.25,60.75,11.29,95.23,80.13,9500.0
Greece,ALL,2010.0,80.69,2723.0,11.3,29.36,61.22,11.28,95.75,77.82,9630.0
Greece,ALL,2011.0,80.9,2759.0,12.3,28.52,61.68,12.05,92.99,79.75,10720.0
Greece,ALL,2012.0,80.82,2734.0,12.9,28.38,43.4,12.21,93.82,76.13,760.0
Greece,ALL,2014.0,81.56,2782.0,11.4,28.43,43.9,10.94,92.48,80.01,1010.0
Greece,ALL,2015.0,81.1,2785.0,9.1,27.66,44.3,13.43,95.77,80.48,1330.0
Greece,ALL,2016.0,81.51,2772.0,7.6,27.4,44.8,10.51,94.66,80.4,1400.0
Greece,ALL,2017.0,81.44,2777.0,6.2,26.63,45.3,10.1,90.98,80.71,1540.0
Greece,ALL,2018.0,81.94,2775.0,5.2,26.3,45.8,10.27,89.42,81.4,1620.0
Greece,ALL,2019.0,81.76,2827.0,4.2,25.8,46.2,10.14,89.68,82.14,1750.0
Greece,ALL,2020.0,81.46,2865.0,5.1,25.35,46.7,10.09,88.16,85.53,2030.0
Croatia,ALL,2000.0,72.99,2753.0,5.3,24.71,47.2,10.33,92.58,81.67,2700.0
Croatia,ALL,2001.0,74.65,2818.0,4.1,24.04,47.6,10.57,92.6,85.12,3060.0
Croatia,ALL,2002.0,74.84,2826.0,4.3,24.1,48.1,10.36,93.36,85.49,3410.0
Croatia,ALL,2003.0,74.73,2872.0,6.2,22.37,48.5,9.42,106.33,83.59,3920.0
Croatia,ALL,2004.0,75.65,2854.0,6.5,20.34,49.0,9.3,105.92,82.24,4730.0
Croatia,ALL,2005.0,75.44,2349.0,7.0,18.97,49.5,9.22,34.14,68.31,4970.0
Croatia,ALL,2006.0,76.01,2454.0,8.1,28.64,49.9,9.15,38.19,73.03,4960.0
Croatia,ALL,2007.0,75.89,2644.0,9.3,28.39,46.13,7.25,39.17,79.56,5010.0
Croatia,ALL,2008.0,76.14,2636.0,10.1,27.94,46.37,6.52,41.3,79.74,4990.0
Croatia,ALL,2009.0,76.42,2877.0,10.4,27.71,46.62,7.25,57.32,83.28,5270.0
